id,train_acc,val_acc,test_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
26,0.99128,0.9765,0.9768,41,[100],"('normal', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,True,"tensor([23.3260,  5.0089])","tensor([23.2559,  5.0220])","tensor([23.1697,  5.0159])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_712492346_exp_id_26,712492346,50
11,0.9615,0.9601,0.9562,49,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,True,"tensor([45.2361,  4.8224])","tensor([45.2120,  4.8521])","tensor([45.3442,  4.8475])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_702546693_exp_id_11,702546693,50
71,0.95884,0.9596,0.9542,31,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,True,"tensor([49.4572,  4.8232])","tensor([50.0264,  4.6423])","tensor([50.0314,  4.6193])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_980342676_exp_id_71,980342676,50
6,0.98412,0.9761,0.9749,40,[100],"('normal', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,True,"tensor([28.3584,  5.0174])","tensor([28.3067,  5.1040])","tensor([28.3039,  5.0934])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_6,100364571,50
57,0.96456,0.9624,0.9561,39,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,False,"tensor([42.0113,  4.8201])","tensor([41.8467,  4.7543])","tensor([41.8960,  4.7375])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_301420567_exp_id_57,301420567,50
53,0.9629,0.9614,0.9563,36,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,False,"tensor([48.3436,  4.8233])","tensor([48.5986,  4.9706])","tensor([48.6835,  4.9414])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_613427981_exp_id_53,613427981,50
3,0.961,0.9601,0.9556,21,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,True,"tensor([42.4708,  4.8148])","tensor([42.5044,  4.6985])","tensor([42.6272,  4.6646])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_3,100364571,50
29,0.96434,0.9601,0.9559,45,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,False,"tensor([47.7104,  4.8175])","tensor([47.7597,  4.8729])","tensor([47.7136,  4.8568])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_712492346_exp_id_29,712492346,50
25,0.9598,0.9604,0.9556,19,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,False,"tensor([43.1997,  4.8176])","tensor([43.2515,  4.9853])","tensor([43.3446,  4.9886])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_712492346_exp_id_25,712492346,50
79,0.96304,0.9619,0.9559,46,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,True,"tensor([47.0994,  4.8094])","tensor([47.3764,  4.9145])","tensor([47.4335,  4.9292])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_416302576_exp_id_79,416302576,50
23,0.96032,0.9586,0.9548,24,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,True,"tensor([47.7759,  4.8163])","tensor([47.9824,  4.8212])","tensor([47.9183,  4.8164])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_210342476_exp_id_23,210342476,50
9,0.9636,0.9601,0.9582,47,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,False,"tensor([43.5839,  4.8244])","tensor([43.3099,  4.7677])","tensor([43.4801,  4.7715])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_702546693_exp_id_9,702546693,50
61,0.96202,0.9603,0.955,32,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,False,"tensor([47.3084,  4.8185])","tensor([47.5078,  4.7469])","tensor([47.5995,  4.7550])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_301420567_exp_id_61,301420567,50
8,0.99056,0.9767,0.9725,26,[100],"('normal', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,False,"tensor([21.5262,  5.0033])","tensor([21.4402,  5.0573])","tensor([21.4009,  5.0449])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_702546693_exp_id_8,702546693,50
70,0.98484,0.9766,0.9756,43,[100],"('normal', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,True,"tensor([27.4774,  5.0155])","tensor([27.3394,  5.0068])","tensor([27.1672,  5.0202])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_980342676_exp_id_70,980342676,50
